INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
ts225.tsp      GRASP          60-0.25-5      128352.2177    9081.1839   1.3496      225       25200     
ts225.tsp      GRASP          60-0.5-5       128350.7243    10078.0102  1.3485      225       25200     
ts225.tsp      GRASP          30-0.25-5      128828.3828    4075.6201   1.7256      225       25200     
ts225.tsp      GRASP          60-0.75-5      128002.4114    11017.3522  1.0734      225       25200     
ts225.tsp      GRASP          30-0.5-5       128858.2596    4914.7067   1.7492      225       25200     
ts225.tsp      GRASP          30-0.75-5      128989.5733    6164.4662   1.8529      225       25200     
ts225.tsp      GRASP          90-0.75-5      128100.2075    17024.2239  1.1506      225       25200         
ts225.tsp      GRASP          90-0.5-5       128071.8981    14310.0018  1.1283      225       25200     
ts225.tsp      GRASP          90-0.25-5      128506.0454    55697.1486  1.4711      225       25200
