INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
kroC100.tsp    GRASP          30-0.25-5      20955.3436     282.1210    0.9945      100       4950      
kroC100.tsp    GRASP          30-0.5-5       21056.8614     350.5211    1.4837      100       4950      
kroC100.tsp    GRASP          30-0.75-5      20983.1296     374.2945    1.1284      100       4950      
kroC100.tsp    GRASP          60-0.25-5      20880.2012     579.0801    0.6323      100       4950      
kroC100.tsp    GRASP          60-0.5-5       21206.4993     657.6086    2.2049      100       4950      
kroC100.tsp    GRASP          60-0.75-5      21215.6140     721.0564    2.2489      100       4950      
kroC100.tsp    GRASP          90-0.25-5      21069.2471     745.3408    1.5434      100       4950      
kroC100.tsp    GRASP          90-0.5-5       21078.2092     724.9918    1.5866      100       4950      
kroC100.tsp    GRASP          90-0.75-5      20916.1490     715.0308    0.8056      100       4950      
