INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
ch150.tsp      GRASP          30-0.25-5      6704.7664      914.0622    2.7078      150       11175     
ch150.tsp      GRASP          30-0.5-5       6719.4584      1060.0655   2.9329      150       11175  
ch150.tsp      GRASP          30-0.75-5      6653.0796      1163.9300   1.9160      150       11175 
ch150.tsp      GRASP          90-0.25-5      6663.2915      2456.9359   2.0725      150       11175     
ch150.tsp      GRASP          90-0.5-5       6615.5504      2246.2505   1.3412      150       11175     
ch150.tsp      GRASP          90-0.75-5      6741.5269      2389.6056   3.2709      150       11175  
ch150.tsp      GRASP          60-0.25-5      6659.9842      1250.3338   2.0218      150       11175     
ch150.tsp      GRASP          60-0.5-5       6730.6395      1543.4892   3.1042      150       11175     
ch150.tsp      GRASP          60-0.75-5      6694.5635      1589.4301   2.5515      150       11175     
