INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
kroE100.tsp    GRASP          30-0.25-5      22668.8457     477.3630    2.7227      100       4950      
kroE100.tsp    GRASP          30-0.5-5       22680.2394     580.8580    2.7743      100       4950      
kroE100.tsp    GRASP          30-0.75-5      22427.9594     609.2080    1.6311      100       4950      
kroE100.tsp    GRASP          60-0.25-5      22540.3224     973.2660    2.1403      100       4950      
kroE100.tsp    GRASP          60-0.5-5       22426.4727     1154.7560   1.6244      100       4950      
kroE100.tsp    GRASP          60-0.75-5      22727.1617     1247.0920   2.9870      100       4950      
kroE100.tsp    GRASP          90-0.25-5      22371.6407     1423.2480   1.3759      100       4950      
kroE100.tsp    GRASP          90-0.5-5       22273.9689     1790.9420   0.9333      100       4950      
kroE100.tsp    GRASP          90-0.75-5      22479.8239     1894.5120   1.8662      100       4950      
