INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
lin105.tsp     GRASP          30-0.25-5      14579.9410     587.5490    1.3975      105       5460      
lin105.tsp     GRASP          30-0.5-5       14540.8407     752.4270    1.1255      105       5460      
lin105.tsp     GRASP          30-0.75-5      14636.0165     826.6790    1.7874      105       5460      
lin105.tsp     GRASP          60-0.25-5      14703.7595     1224.6870   2.2586      105       5460      
lin105.tsp     GRASP          60-0.5-5       14474.5612     1582.8510   0.6646      105       5460      
lin105.tsp     GRASP          60-0.75-5      14593.3237     1627.4600   1.4905      105       5460      
lin105.tsp     GRASP          90-0.25-5      14534.2995     1814.6790   1.0800      105       5460      
lin105.tsp     GRASP          90-0.5-5       14452.1974     2264.4010   0.5091      105       5460      
lin105.tsp     GRASP          90-0.75-5      14550.5572     2528.9020   1.1931      105       5460      
