INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
kroD100.tsp    GRASP          30-0.25-5      21969.5159     191.0401    3.1723      100       4950      
kroD100.tsp    GRASP          30-0.5-5       22073.3894     313.8194    3.6601      100       4950      
kroD100.tsp    GRASP          30-0.75-5      21588.1786     346.7225    1.3815      100       4950      
kroD100.tsp    GRASP          60-0.25-5      21476.8695     594.7348    0.8588      100       4950      
kroD100.tsp    GRASP          60-0.5-5       21713.1112     687.0114    1.9682      100       4950      
kroD100.tsp    GRASP          60-0.75-5      21799.2549     686.7308    2.3728      100       4950      
kroD100.tsp    GRASP          90-0.25-5      21559.8346     819.5531    1.2484      100       4950      
kroD100.tsp    GRASP          90-0.5-5       21825.4853     759.6471    2.4959      100       4950      
kroD100.tsp    GRASP          90-0.75-5      21820.5731     759.6792    2.4729      100       4950      
