INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
berlin52.tsp   GRASP          30-0.25-5      7821.4158      7.1804      3.7048      52        1326      
berlin52.tsp   GRASP          30-0.5-5       7658.9583      9.1567      1.5508      52        1326      
berlin52.tsp   GRASP          30-0.75-5      7713.9180      9.1222      2.2795      52        1326      
berlin52.tsp   GRASP          60-0.25-5      7619.1531      13.2477     1.0230      52        1326      
berlin52.tsp   GRASP          60-0.5-5       7735.7984      14.9904     2.5696      52        1326      
berlin52.tsp   GRASP          60-0.75-5      7619.1531      16.8639     1.0230      52        1326      
berlin52.tsp   GRASP          90-0.25-5      7681.7356      17.8418     1.8528      52        1326      
berlin52.tsp   GRASP          90-0.5-5       7726.7991      24.5593     2.4503      52        1326      
berlin52.tsp   GRASP          90-0.75-5      7544.3659      24.1740     0.0314      52        1326      
