INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
st70.tsp       GRASP          30-0.25-5      689.7874       21.5856     2.1907      70        2415      
st70.tsp       GRASP          30-0.5-5       687.5821       24.7746     1.8640      70        2415      
st70.tsp       GRASP          30-0.75-5      684.8685       24.8193     1.4620      70        2415      
st70.tsp       GRASP          90-0.25-5      679.0735       72.9637     0.6035      70        2415      
st70.tsp       GRASP          90-0.5-5       683.6404       75.1813     1.2801      70        2415      
st70.tsp       GRASP          90-0.75-5      682.5432       72.9963     1.1175      70        2415      
st70.tsp       GRASP          150-0.25-5     686.8215       114.9654    1.7513      70        2415      
st70.tsp       GRASP          150-0.5-5      685.5194       124.6052    1.5584      70        2415      
st70.tsp       GRASP          150-0.75-5     685.1200       130.0684    1.4993      70        2415      
