INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
st70.tsp       GRASP          30-0.25-5      688.1343       23.9576     1.9458      70        2415      
st70.tsp       GRASP          30-0.5-5       686.5935       27.4614     1.7176      70        2415      
st70.tsp       GRASP          30-0.75-5      682.6627       25.7981     1.1352      70        2415      
st70.tsp       GRASP          60-0.25-5      687.6800       45.0822     1.8785      70        2415      
st70.tsp       GRASP          60-0.5-5       688.6851       51.4438     2.0274      70        2415      
st70.tsp       GRASP          60-0.75-5      685.5816       76.9757     1.5676      70        2415      
st70.tsp       GRASP          90-0.25-5      681.2155       100.1343    0.9208      70        2415      
st70.tsp       GRASP          90-0.5-5       689.9976       106.2884    2.2219      70        2415      
st70.tsp       GRASP          90-0.75-5      683.6404       93.2020     1.2801      70        2415      
