INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
d198.tsp       GRASP          30-0.25-5      16141.2910     2501.9619   2.2896      198       19503     
d198.tsp       GRASP          30-0.5-5       16124.1385     3216.3151   2.1809      198       19503     
d198.tsp       GRASP          30-0.75-5      16057.2880     3268.9118   1.7572      198       19503     
d198.tsp       GRASP          60-0.25-5      16110.6048     5245.1780   2.0951      198       19503     
d198.tsp       GRASP          60-0.5-5       16148.2265     6017.3561   2.3335      198       19503     
d198.tsp       GRASP          60-0.75-5      16022.5575     6849.3417   1.5371      198       19503     
d198.tsp       GRASP          90-0.25-5      16098.6415     7821.2807   2.0193      198       19503     
d198.tsp       GRASP          90-0.5-5       16125.6140     13031.0191  2.1902      198       19503     
d198.tsp       GRASP          90-0.75-5      16041.2399     13255.9574  1.6555      198       19503     
