INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
kroA100.tsp    GRASP          30-0.25-5      21671.6963     266.5230    1.8311      100       4950      
kroA100.tsp    GRASP          30-0.5-5       21616.7919     401.1618    1.5731      100       4950      
kroA100.tsp    GRASP          30-0.75-5      21475.1578     439.3982    0.9076      100       4950      
kroA100.tsp    GRASP          60-0.25-5      21706.3414     661.5482    1.9939      100       4950      
kroA100.tsp    GRASP          60-0.5-5       21503.4624     811.3407    1.0406      100       4950      
kroA100.tsp    GRASP          60-0.75-5      21615.3708     815.9329    1.5664      100       4950      
kroA100.tsp    GRASP          90-0.25-5      21509.0379     730.9793    1.0668      100       4950      
kroA100.tsp    GRASP          90-0.5-5       21346.3304     829.4183    0.3023      100       4950      
kroA100.tsp    GRASP          90-0.75-5      21633.4208     642.5790    1.6513      100       4950      
