INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
kroB100.tsp    GRASP          30-0.25-5      22559.4390     272.3029    1.8899      100       4950      
kroB100.tsp    GRASP          30-0.5-5       22648.2283     381.1368    2.2909      100       4950      
kroB100.tsp    GRASP          30-0.75-5      22689.5638     415.8209    2.4776      100       4950      
kroB100.tsp    GRASP          60-0.25-5      22178.5727     603.1762    0.1697      100       4950      
kroB100.tsp    GRASP          60-0.5-5       22559.9426     747.1989    1.8922      100       4950      
kroB100.tsp    GRASP          60-0.75-5      22462.0421     793.0241    1.4500      100       4950      
kroB100.tsp    GRASP          90-0.25-5      22518.8996     699.7854    1.7068      100       4950      
kroB100.tsp    GRASP          90-0.5-5       22758.1836     827.5860    2.7875      100       4950      
kroB100.tsp    GRASP          90-0.75-5      22449.5503     673.6291    1.3936      100       4950      
