INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
eil101.tsp     GRASP          30-0.25-5      670.6238       408.1522    6.6175      101       5050      
eil101.tsp     GRASP          30-0.5-5       665.2996       430.0840    5.7710      101       5050      
eil101.tsp     GRASP          30-0.75-5      669.5769       491.0458    6.4510      101       5050      
eil101.tsp     GRASP          60-0.25-5      670.2102       741.0870    6.5517      101       5050      
eil101.tsp     GRASP          60-0.5-5       659.6531       881.3740    4.8733      101       5050      
eil101.tsp     GRASP          60-0.75-5      664.4181       920.8690    5.6309      101       5050      
eil101.tsp     GRASP          90-0.25-5      662.5062       1080.2010   5.3269      101       5050      
eil101.tsp     GRASP          90-0.5-5       656.3843       1312.5170   4.3536      101       5050      
eil101.tsp     GRASP          90-0.75-5      653.9007       1413.9030   3.9588      101       5050      
