INSTANCE       METHOD         PARAM          OBJECTIVE      RUNTIME     GAP         NODES     ARCS      
ch130.tsp      GRASP          30-0.25-5      6290.6847      685.6134    2.9572      130       8385 
ch130.tsp      GRASP          30-0.5-5       6331.9186      567.7555    3.6321      130       8385    
ch130.tsp      GRASP          30-0.75-5      6282.2180      576.1538    2.8186      130       8385 
ch130.tsp      GRASP          90-0.25-5      6267.7741      1232.1175   2.5822      130       8385 
ch130.tsp      GRASP          90-0.5-5       6286.7850      1215.9800   2.8934      130       8385 
ch130.tsp      GRASP          90-0.75-5      6292.3831      1277.5221   2.9850      130       8385    
ch130.tsp      GRASP          60-0.25-5      6287.6382      716.2624    2.9073      130       8385      
ch130.tsp      GRASP          60-0.5-5       6262.2731      823.7706    2.4922      130       8385      
ch130.tsp      GRASP          60-0.75-5      6264.1714      878.3484    2.5233      130       8385      
